sexo,remuneracao,cnae_secao,cbo_grupo,uf,idade,escolaridade,vinculo
Masculino,925.62,F,Serviços,SP,30,Médio incompleto,Aprendiz
Feminino,1089.71,D,Direção,MG,58,Superior completo,Temporário
Feminino,2153.76,F,Administração,BA,28,Fundamental completo,Estatutário
Feminino,1066.09,J,Operacional,GO,58,Superior incompleto,CLT
Masculino,2983.0,H,Serviços,DF,28,Fundamental completo,Aprendiz
Masculino,1751.09,H,Direção,GO,63,Fundamental incompleto,Temporário
Masculino,1879.04,F,Operacional,DF,64,Superior incompleto,CLT
Feminino,1595.16,A,Administração,PE,18,Fundamental incompleto,Estatutário
Feminino,2560.05,A,Técnico,SC,52,Superior incompleto,Temporário
Feminino,2571.96,C,Administração,SP,52,Fundamental incompleto,Aprendiz
Masculino,2102.27,B,Direção,PE,20,Fundamental completo,CLT
Feminino,2331.24,A,Técnico,PE,21,Fundamental completo,Estatutário
Feminino,1643.46,A,Técnico,DF,41,Fundamental completo,Estatutário
Masculino,2307.66,F,Operacional,GO,47,Fundamental completo,Temporário
Masculino,1553.02,G,Administração,SC,49,Superior incompleto,Estatutário
Masculino,1809.86,H,Direção,MG,37,Pós-graduação,Aprendiz
Masculino,1597.84,C,Técnico,SC,53,Médio completo,Temporário
Masculino,1471.82,A,Operacional,PE,30,Médio completo,Estatutário
Masculino,1325.97,E,Técnico,BA,56,Pós-graduação,CLT
Masculino,2231.57,H,Administração,PE,21,Médio incompleto,Aprendiz
Feminino,3260.95,D,Serviços,MG,45,Médio completo,CLT
Masculino,3062.53,B,Direção,PE,57,Médio incompleto,Estatutário
Masculino,1027.15,I,Serviços,PR,60,Fundamental completo,Aprendiz
Masculino,3229.69,I,Administração,BA,24,Fundamental incompleto,CLT
Masculino,1566.86,C,Serviços,RS,26,Médio completo,Estatutário
Feminino,2369.25,G,Administração,MG,39,Médio completo,Aprendiz
Masculino,1202.55,A,Administração,SC,21,Fundamental completo,Aprendiz
Masculino,1927.33,H,Operacional,DF,53,Fundamental completo,Aprendiz
Feminino,2082.19,H,Serviços,RS,50,Médio completo,Estatutário
Masculino,926.98,C,Técnico,DF,23,Fundamental completo,Estatutário
Feminino,2377.3,E,Administração,MG,20,Médio completo,Aprendiz
Masculino,3313.2,D,Serviços,SC,52,Fundamental incompleto,Aprendiz
Masculino,1671.39,G,Técnico,PR,50,Superior completo,Aprendiz
Feminino,3334.49,G,Direção,DF,24,Fundamental incompleto,Estatutário
Feminino,1660.11,H,Técnico,SC,58,Médio incompleto,Temporário
Feminino,2650.0,E,Serviços,RJ,52,Médio completo,CLT
Masculino,666.24,E,Serviços,RS,64,Superior completo,CLT
Masculino,5369.28,H,Técnico,PR,20,Fundamental incompleto,CLT
Feminino,3543.8,E,Técnico,DF,60,Superior completo,Temporário
Masculino,1590.68,A,Administração,SP,35,Pós-graduação,Estatutário
Masculino,744.39,C,Serviços,DF,20,Fundamental incompleto,Aprendiz
Masculino,2058.25,B,Administração,GO,56,Pós-graduação,Aprendiz
Masculino,944.1,J,Administração,SP,44,Pós-graduação,Temporário
Feminino,2208.75,E,Direção,SP,26,Superior incompleto,CLT
Masculino,2175.92,H,Serviços,RS,34,Superior completo,Estatutário
Feminino,1183.66,I,Administração,SC,58,Fundamental incompleto,Estatutário
Masculino,2994.21,I,Direção,RJ,59,Médio incompleto,Estatutário
Masculino,2598.03,A,Administração,SP,62,Fundamental incompleto,Aprendiz
Masculino,2804.89,A,Administração,RS,22,Fundamental completo,CLT
Masculino,1815.26,A,Serviços,PE,63,Superior incompleto,CLT
Feminino,956.25,A,Técnico,SC,21,Médio completo,Temporário
Feminino,2807.48,I,Técnico,PR,31,Médio incompleto,CLT
Feminino,1600.92,A,Serviços,SP,46,Superior completo,Aprendiz
Feminino,967.39,G,Técnico,MG,28,Superior completo,Aprendiz
Feminino,3322.32,F,Operacional,BA,39,Fundamental incompleto,Estatutário
Feminino,4650.52,I,Técnico,GO,59,Médio completo,Estatutário
Masculino,1774.79,I,Administração,MG,22,Fundamental incompleto,CLT
Masculino,4777.17,D,Administração,PR,29,Superior incompleto,Estatutário
Masculino,1883.89,I,Direção,SC,38,Pós-graduação,Estatutário
Masculino,1523.54,F,Serviços,DF,32,Médio completo,Temporário
Masculino,1361.43,E,Direção,MG,41,Fundamental completo,Estatutário
Masculino,3777.01,I,Administração,SC,30,Superior completo,Estatutário
Feminino,1272.75,G,Administração,RJ,49,Fundamental completo,CLT
Masculino,2517.12,I,Direção,DF,43,Superior completo,CLT
Masculino,1405.82,E,Operacional,DF,57,Médio completo,Estatutário
Masculino,1469.77,D,Técnico,BA,43,Fundamental completo,Temporário
Masculino,2874.44,J,Operacional,DF,53,Médio incompleto,Aprendiz
Feminino,1523.83,C,Operacional,RS,62,Superior completo,Aprendiz
Masculino,1506.95,E,Operacional,GO,47,Superior incompleto,Aprendiz
Feminino,3010.2,I,Operacional,SP,64,Médio incompleto,Temporário
Feminino,3710.15,C,Técnico,SP,26,Médio completo,Estatutário
Masculino,2416.58,A,Serviços,RJ,41,Médio incompleto,Aprendiz
Masculino,1346.62,B,Direção,GO,55,Superior completo,Estatutário
Feminino,1436.88,J,Operacional,MG,35,Superior incompleto,Estatutário
Feminino,1874.25,E,Operacional,RJ,26,Superior incompleto,Estatutário
Feminino,2088.95,C,Direção,RS,39,Superior completo,Aprendiz
Feminino,1159.17,F,Direção,PE,55,Pós-graduação,Temporário
Masculino,2503.3,H,Serviços,MG,38,Médio completo,Temporário
Masculino,1878.97,F,Administração,RS,24,Superior completo,Temporário
Masculino,835.42,J,Serviços,RJ,29,Médio incompleto,Temporário
Feminino,1190.33,I,Administração,SP,53,Superior completo,Estatutário
Feminino,1441.07,F,Técnico,PE,28,Superior incompleto,Aprendiz
Masculino,1749.73,E,Serviços,BA,20,Médio completo,Temporário
Masculino,4230.92,D,Técnico,GO,44,Superior completo,Temporário
Masculino,2012.59,B,Direção,RJ,24,Superior incompleto,Temporário
Masculino,1238.5,F,Serviços,PE,19,Superior completo,CLT
Feminino,1996.77,B,Direção,GO,27,Fundamental incompleto,Estatutário
Feminino,1543.12,E,Operacional,MG,20,Fundamental incompleto,Temporário
Feminino,2092.56,A,Direção,BA,34,Superior incompleto,Estatutário
Masculino,2347.85,C,Operacional,SP,60,Médio completo,Estatutário
Masculino,3115.53,J,Administração,MG,18,Fundamental incompleto,Estatutário
Feminino,1788.39,E,Operacional,DF,51,Superior incompleto,CLT
Feminino,3780.2,G,Administração,RS,30,Superior completo,CLT
Feminino,2720.61,H,Operacional,SP,31,Fundamental completo,Temporário
Feminino,1315.08,G,Operacional,SC,34,Superior completo,Estatutário
Masculino,4887.49,G,Técnico,SP,51,Médio incompleto,CLT
Masculino,2094.66,B,Técnico,GO,34,Superior incompleto,Aprendiz
Masculino,1241.65,F,Direção,SP,58,Pós-graduação,Aprendiz
Masculino,3804.01,E,Técnico,RJ,42,Fundamental incompleto,Estatutário
Masculino,4605.47,I,Administração,MG,61,Superior incompleto,Aprendiz
Masculino,1781.37,J,Técnico,RJ,47,Superior completo,Temporário
Feminino,1441.38,D,Direção,PE,53,Pós-graduação,Aprendiz
Masculino,1673.1,G,Serviços,SC,28,Médio completo,Aprendiz
Masculino,2493.97,H,Administração,SP,38,Fundamental incompleto,Aprendiz
Feminino,3213.24,F,Serviços,SC,37,Médio completo,Estatutário
Masculino,2337.22,C,Administração,SP,46,Médio completo,CLT
Masculino,1892.73,E,Direção,DF,21,Superior completo,Aprendiz
Feminino,3547.88,A,Técnico,MG,51,Médio completo,Aprendiz
